Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7","C_0402_1005Metric",40.050000,29.275000,0.000000,top
"C2","100n","C_0402_1005Metric",40.050000,28.300000,0.000000,top
"C6","100n","C_0402_1005Metric",41.600000,31.900000,90.000000,top
"C7","4u7","C_0402_1005Metric",42.750000,31.850000,90.000000,top
"C8","4u7","C_0402_1005Metric",1.120000,34.555000,90.000000,top
"C9","4u7","C_0402_1005Metric",4.070000,34.505000,90.000000,top
"C17","100n","C_0402_1005Metric",33.970000,35.410000,90.000000,top
"C18","100n","C_0402_1005Metric",40.510000,35.350000,90.000000,top
"C21","100n","C_0402_1005Metric",42.650000,3.750000,180.000000,top
"C22","100n","C_0402_1005Metric",46.565000,34.600000,90.000000,top
"C24","47u","C_0805_2012Metric",3.990000,10.230000,180.000000,top
"C25","22u","C_0805_2012Metric",3.090000,16.967497,0.000000,top
"C26","22u","C_0805_2012Metric",3.100000,24.830000,180.000000,top
"C27","47u","C_0805_2012Metric",3.100000,19.905000,180.000000,top
"C28","47u","C_0805_2012Metric",3.100000,32.530000,180.000000,top
"C29","47u","C_0805_2012Metric",3.100000,27.610000,180.000000,top
"C30","22u","C_0805_2012Metric",8.775002,3.850000,-90.000000,top
"C31","47u","C_0805_2012Metric",14.975002,3.756700,-90.000000,top
"C33","470n","C_0201_0603Metric",10.430000,24.670000,90.000000,top
"C34","4u7","C_0402_1005Metric",11.850000,24.530000,-90.000000,top
"C35","470n","C_0201_0603Metric",16.600000,39.275000,90.000000,top
"C36","4u7","C_0402_1005Metric",7.200000,40.350000,90.000000,top
"C37","470n","C_0201_0603Metric",16.000000,32.700000,0.000000,top
"C38","4u7","C_0402_1005Metric",16.350000,24.250000,180.000000,top
"C39","470n","C_0201_0603Metric",13.500000,22.620000,180.000000,top
"C40","4u7","C_0402_1005Metric",10.010000,27.040000,180.000000,top
"C41","470n","C_0201_0603Metric",17.900000,32.700000,180.000000,top
"C42","100u","C_1206_3216Metric",6.400000,19.300000,-90.000000,top
"C51","100u","C_1206_3216Metric",6.110000,7.170000,-90.000000,top
"C58","100u","C_1206_3216Metric",2.690000,7.630000,180.000000,top
"C70","4u7","C_0402_1005Metric",42.025000,39.475000,90.000000,top
"C71","4u7","C_0402_1005Metric",27.575000,38.500000,0.000000,top
"C73","47u","C_0805_2012Metric",23.275000,35.900000,180.000000,top
"C74","47u","C_0805_2012Metric",47.200000,31.600000,0.000000,top
"C75","47u","C_0805_2012Metric",47.700000,10.700000,180.000000,top
"C77","4u7","C_0402_1005Metric",44.975000,15.350000,0.000000,top
"C78","4u7","C_0402_1005Metric",42.825000,37.625000,0.000000,top
"C79","4u7","C_0402_1005Metric",48.730000,22.810000,180.000000,top
